Player ID,Jersey #,Team,Full Name,Email,Position,Starting?
Lebron James (#23) - Lakers,23,Lakers,Lebron James,lebum@email.com,SF,TRUE
Anthony Davis (#3) - Lakers,3,Lakers,Anthony Davis,adisney@email.com,C,TRUE
Russell Westbrook (#0) - Lakers,0,Lakers,Russell Westbrook,westbrick@email.com,PG,TRUE
Paul George (#13) - Clippers,13,Clippers,Paul George,playoffp@email.com,SG,TRUE
Kawhi Leonard (#2) - Clippers,2,Clippers,Kawhi Leonard,kawhynot@email.com,SF,TRUE
Robert Covington (#23) - Clippers,23,Clippers,Robert Covington,covington@email.com,PF,FALSE
Nicolas Batum (#33) - Clippers,33,Clippers,Nicolas Batum,nicbatum@email.com,PF,TRUE
Austin Reeves (#15) - Lakers,15,Lakers,Austin Reeves,hillbillykobe@email.com,SG,FALSE
Malik Monk (#11) - Lakers,11,Lakers,Malik Monk,mmonk@email.com,SG,TRUE
Carmelo Anthony (#7) - Lakers,7,Lakers,Carmelo Anthony,hoodiemelo@email.com,PF,TRUE
Reggie Jackson (#1) - Clippers,1,Clippers,Reggie Jackson,notbobbyshmurda@email.com,PG,TRUE
Ivica Zubac (#40) - Clippers,40,Clippers,Ivica Zubac,zubac@email.com,C,TRUE
